Conductance(S)
4.5447996811368545e-07
4.901499466716858e-07
4.963298886384629e-07
5.049900592706832e-07
5.019500760454365e-07
5.022399903569921e-07
5.086200933419595e-07
5.086501036628911e-07
5.034101000175187e-07
5.041900715899482e-07
5.090099857579007e-07
5.113601207628062e-07
5.0928010201899e-07
5.158601193700316e-07
5.16950015586043e-07
5.205299619648756e-07
5.109198908266378e-07
5.176698850203419e-07
5.322098737704621e-07
5.184000928972966e-07
5.203999377601674e-07
5.206399915031553e-07
5.217099146795605e-07
5.260798841782527e-07
5.241999529268442e-07
5.208401151056654e-07
5.229099941172625e-07
5.156999698831217e-07
5.184100364183051e-07
5.14549928323195e-07
5.195701284585185e-07
5.165598765215271e-07
5.224199117214833e-07
5.131699947451392e-07
5.155999934003201e-07
5.243898985725059e-07
5.197599748436172e-07
5.263199446311418e-07
5.196000949828973e-07
5.216799764617994e-07
5.206399915031553e-07
5.25720065630893e-07
5.227700329397398e-07
5.236698785085882e-07
5.244198736252989e-07
5.265998762490291e-07
5.252299456702145e-07
5.269300790131654e-07
5.283200689774682e-07
5.272201107056788e-07
5.20470088584009e-07

